asciiname,geonameid,zh,mn
Hongge'ertu,8555051,n,y
Dexingkui,8470692,y,n
Dahekou,2037964,y,n
Jaramtai,2036592,n,y
Shangwujiapu,8467918,y,n
Duolun Xian,2037529,y,y
Yinzigou,8419211,y,n
Sigesheng,8544050,y,n
Xinminbu,8648870,y,n
Pielaba,8467551,n,n
Tangsifang,8555312,y,n
Guanjiaying,8649305,y,n
Datongyao,2037792,y,n
Tuanjie Nongyedian,8458330,y,n
Goulitou,8554049,y,n
Eleshun,8649401,n,y
Hsing-lung-ti,2048290,y,n
Lu-t'ai-ying-tzu,2048484,y,n
TIAN WAI TIAN HOTEL BAOTOU,6522725,y,n
Tieshagai,8649168,n,y
Xinbeixing,8444872,y,n
Wuliji,8649169,n,y
Xiyangpo,8544048,y,n
Abag Qi,2038681,y,y
Yihe Hure,8456931,n,y
Xiaowotu,8544177,y,y
Horqin Youyi Zhongqi,2036807,y,y
Ulan Tohoi,2034298,n,y
Erfenzi,8544093,y,n
Baoyuanhao,8545965,y,n
Honghuri,8456926,n,y
Hsia-t'ang-ti,2048273,y,n
Quanzigou,8416653,y,n
Gangjiatun,8439567,y,n
Malonggou,8467647,y,n
Siyihe,8553752,y,n
Jibt,2036521,n,y
Xinhen Barun,2033713,n,y
Guo'enqikan,8444894,n,y
Kurigetai Gacha,8440065,n,y
Bage Dawa,8444608,n,y
Bagatala,8649394,n,y
Xigou,8555231,y,n
Sandaogou,8467713,y,n
Shengli,8553808,y,n
Caojia,8555388,y,n
Shisan Gongli,8442314,y,n
Ouli,2035526,n,y
Tahilin Us,2034612,n,y
Xiayingpan,8470770,y,n
Ch'i-shan,2048270,y,n
Tuanjie,8649579,y,n
Bayin Tala Dahan'er Minzu,8443817,y,y
Hualigeng,8544200,n,y
Malianqu,8649078,y,n
Alatan Aoxite Gacha,8443782,n,y
Liming Daduiwushi Erdui,8458293,y,n
Xar Moron Sum,2034051,n,y
E'erkehashiha,8648737,n,y
Hongqi Badui,8467660,y,n
Siyanbu,8417293,n,n
Yong'an,8444760,y,n
T'ang-chia-ying-tzu,2048360,y,n
Suotuhan Linchang,2051673,y,y
Douquangou,8467725,y,n
Zhanpu,8649569,y,n
Longtoushan Sandui,8439536,y,n
Xiaosai Wusu,8553773,y,y
Wulantuge Gacha,8524218,n,y
Xinyaomao,8418872,n,n
Xiaodong Bujie,8544511,y,n
Shuijiangou,8544321,y,n
Miaogou,8555291,y,n
Miehu,8416915,n,n
Hegedong,8545794,y,n
Xihei Shegou,8419247,y,y
Da'erdaowa,8644891,y,n
Boidonifhu-ko,2047559,n,n
Tobq,2034431,n,y
Dongshihao,8648948,y,n
Xing'anbu,8467948,y,y
Chaoyang,8444634,y,y
Niujiayingzi,2035577,n,y
T'ai-p'ing-kou,2048167,y,n
Dayudian,8444933,y,n
Cheng'ergou,8470842,y,n
Kuilehe,8445007,y,y
Bugeshao,8545609,n,y
Laoshantou,8439320,y,n
Mangluangou,8417141,y,n
Dafuyingzi,8649321,y,n
Tuchengzi,2034352,y,n
Changtan,8648798,y,n
Qigongli Bingbao,8442201,y,n
Nanyingzi,8554048,y,n
Taibus Qi,2034608,y,y
Yujia Wazi,8444751,y,n
Zhunsonggenai Wenduri,8440050,n,y
Ma-chia,2048620,y,n
Hengyilong,8555332,y,n
Yaozhanluchang,8439279,n,n
Shenshuigou,8545673,y,n
Sanchahe Sandui,8439525,y,n
Toudaogou,8554246,y,n
Banfangtan,8553738,n,n
Qiaodagedan,2051329,y,n
Yupiyao,8417288,y,n
Yudaihe,8444892,y,n
Bayannur Airport,8260717,n,y
Xiaohaizi,8553417,y,n
Tabu Hudong,8553669,n,y
Shuanghe,8467863,y,n
P'ei-ying-hui,2048607,y,n
Shunhe,8444916,y,y
Nei Mongol Gaoyuan,2035608,y,y
Halu Hudong,8545939,n,y
Yongfatun,8439382,y,n
Shiwan,8416618,y,n
Yaozimian,8419604,y,n
Wujia,8649234,y,n
Hongyan,2036813,y,n
Qiansheng,8555055,y,n
Tarigen Nuo'er,8456898,n,y
Yangshuwan,8644959,y,n
Bisiyingzi,8649148,n,y
Xiashuiquan,8469528,y,n
Shiwuhao,8644814,y,n
Tianshuigou,7526989,y,n
Onggon Ul Sum,2035538,n,y
Dayuanshan,8469626,y,n
Best Western Henglong Hotel Haotou,10290721,y,n
Hou'ashen Langgou,8545701,y,y
Ordos Desert,1800271,n,y
Chenyougou,8469552,y,n
Hsi-shui-ch'uan,2048280,y,n
Liuhao,2053019,y,n
