asciiname,geonameid,zh,mn,other,certainty-012,pinyin-compliant,notes
Ao-pao-t'u,2048211,n,y,,2,n,wade-giles transliteration; ultimately Mongolian
Halawu,1808990,y,y,,0,y,don't recognize
Sijiazi,2034726,y,n,,2,y,
Narenbaolage,8649627,n,y,,2,y,
BAOTOU SHENHUA INTERNATIONAL HO,6494243,y,y,y,0,n,"contains English, Chinese and Mongolian"
Suosuotou,8524184,n,y,,1,y,
Tongsiyao,8419274,y,n,,1,y,
Zhanglilu Goumen,8467523,y,y,,0,y,don't recognize
Huret,2036626,n,y,,1,n,
Qiandemen,8649628,n,y,,2,y,probably Mongolian but there is a possible Chinese parse
Haibuzi,8644896,y,y,,0,y,
Bayan Gol,2038410,n,y,,2,n,
Hongge'ertu,8555051,n,y,,2,y,
Dexingkui,8470692,y,y,,0,y,
Dahekou,2037964,y,n,,1,y,
Jaramtai,2036592,n,y,,2,n,
Shangwujiapu,8467918,y,n,,2,y,
Duolun Xian,2037529,y,y,,1,y,mixed
Yinzigou,8419211,y,n,,2,y,
Sigesheng,8544050,y,n,,1,y,
Xinminbu,8648870,y,n,,1,y,
Pielaba,8467551,y,n,,0,y,don't recognize
Tangsifang,8555312,y,n,,1,y,
Guanjiaying,8649305,y,n,,2,y,
Datongyao,2037792,y,n,,1,y,
Tuanjie Nongyedian,8458330,y,n,,2,y,
Goulitou,8554049,y,y,,0,y,
Eleshun,8649401,n,y,,1,y,
Hsing-lung-ti,2048290,y,n,,1,n,wade-giles
Lu-t'ai-ying-tzu,2048484,y,n,,1,n,wade-giles
TIAN WAI TIAN HOTEL BAOTOU,6522725,y,y,y,1,n,"contains English, Chinese and Mongolian"
Tieshagai,8649168,n,y,,0,y,
Xinbeixing,8444872,n,y,,1,y,probably Mongolian but there is a possible Chinese parse
Wuliji,8649169,n,y,,2,y,
Xiyangpo,8544048,y,n,,1,y,
Abag Qi,2038681,y,y,,2,n,mixed
Yihe Hure,8456931,n,y,,2,y,
Xiaowotu,8544177,n,y,,2,y,
Horqin Youyi Zhongqi,2036807,y,y,,2,n,mixed
Ulan Tohoi,2034298,n,y,,2,n,
Erfenzi,8544093,y,n,,2,y,
Baoyuanhao,8545965,y,n,,0,y,don't recognize
Honghuri,8456926,n,y,,0,y,don't recognize
Hsia-t'ang-ti,2048273,y,n,,1,n,wade-giles
Quanzigou,8416653,y,n,,2,y,
Gangjiatun,8439567,y,n,,1,y,
Malonggou,8467647,y,n,,1,y,
Siyihe,8553752,y,n,,1,y,
Jibt,2036521,n,y,,1,n,don't recognize
Xinhen Barun,2033713,n,y,,2,n,
Guo'enqikan,8444894,n,y,,1,n,
Kurigetai Gacha,8440065,n,y,,2,y,
Bage Dawa,8444608,n,y,,2,y,
Bagatala,8649394,n,y,,2,y,
Xigou,8555231,y,n,,1,y,
Sandaogou,8467713,y,n,,2,y,
Shengli,8553808,y,n,,1,y,
Caojia,8555388,y,n,,1,y,
Shisan Gongli,8442314,y,n,,2,y,
Ouli,2035526,y,y,,0,y,
Tahilin Us,2034612,n,y,,2,n,
Xiayingpan,8470770,y,n,,2,y,
Ch'i-shan,2048270,y,n,,1,n,wade-giles
Tuanjie,8649579,y,n,,2,y,
Bayin Tala Dahan'er Minzu,8443817,y,y,,2,y,mixed
Hualigeng,8544200,n,y,,1,y,
Malianqu,8649078,y,n,,1,y,
Alatan Aoxite Gacha,8443782,n,y,,2,y,
Liming Daduiwushi Erdui,8458293,y,n,,2,y,
Xar Moron Sum,2034051,n,y,,2,n,
E'erkehashiha,8648737,n,y,,2,y,
Hongqi Badui,8467660,y,n,,2,y,
Siyanbu,8417293,y,n,,1,y,
Yong'an,8444760,y,n,,2,y,
T'ang-chia-ying-tzu,2048360,y,n,,2,n,wade-giles
Suotuhan Linchang,2051673,y,y,,2,y,mixed
Douquangou,8467725,y,n,,1,y,
Zhanpu,8649569,y,n,,2,y,
Longtoushan Sandui,8439536,y,n,,2,y,
Xiaosai Wusu,8553773,n,y,,2,y,
Wulantuge Gacha,8524218,n,y,,2,y,
Xinyaomao,8418872,n,y,,1,y,
Xiaodong Bujie,8544511,n,y,,1,y,probably Mongolian but there is a possible Chinese parse
Shuijiangou,8544321,y,n,,1,y,
Miaogou,8555291,y,n,,1,y,
Miehu,8416915,y,n,,0,y,
Hegedong,8545794,n,y,,0,y,
Xihei Shegou,8419247,y,n,,0,y,
Da'erdaowa,8644891,n,y,,1,y,
Boidonifhu-ko,2047559,n,n,,0,n,don't recognize words or transliteration
Tobq,2034431,n,y,,1,n,
Dongshihao,8648948,y,n,,1,y,
Xing'anbu,8467948,n,y,y,2,y,
Chaoyang,8444634,y,n,,1,y,
Niujiayingzi,2035577,y,n,,2,y,
T'ai-p'ing-kou,2048167,y,n,,2,n,wade-giles
Dayudian,8444933,y,n,,1,y,
Cheng'ergou,8470842,y,n,,1,y,
Kuilehe,8445007,y,n,,0,y,
Bugeshao,8545609,n,y,,0,y,
Laoshantou,8439320,y,n,,2,y,
Mangluangou,8417141,y,n,,1,y,
Dafuyingzi,8649321,y,n,,2,y,
Tuchengzi,2034352,y,n,,2,y,
Changtan,8648798,y,n,,1,y,
Qigongli Bingbao,8442201,y,n,,2,y,
Nanyingzi,8554048,y,n,,2,y,
Taibus Qi,2034608,y,y,,2,n,mixed
Yujia Wazi,8444751,y,n,,1,y,
Zhunsonggenai Wenduri,8440050,n,y,,2,y,
Ma-chia,2048620,y,n,,1,n,wade-giles
Hengyilong,8555332,n,y,,0,y,
Yaozhanluchang,8439279,y,n,,1,y,
Shenshuigou,8545673,y,n,,2,y,
Sanchahe Sandui,8439525,y,n,,2,y,
Toudaogou,8554246,y,n,,1,y,
Banfangtan,8553738,y,n,,1,y,
Qiaodagedan,2051329,n,y,,1,y,
Yupiyao,8417288,y,n,,2,y,
Yudaihe,8444892,y,n,,1,y,
Bayannur Airport,8260717,n,y,y,2,n,contains English and Mongolian
Xiaohaizi,8553417,y,n,,2,y,
Tabu Hudong,8553669,n,y,,2,y,
Shuanghe,8467863,y,n,,2,y,
P'ei-ying-hui,2048607,y,n,,1,n,wade-giles
Shunhe,8444916,y,n,,1,y,
Nei Mongol Gaoyuan,2035608,y,y,,2,n,mixed
Halu Hudong,8545939,n,y,,2,y,
Yongfatun,8439382,y,n,,1,y,
Shiwan,8416618,y,n,,1,y,
Yaozimian,8419604,y,n,,1,y,
Wujia,8649234,y,n,,2,y,
Hongyan,2036813,y,n,,2,y,
Qiansheng,8555055,y,n,,2,y,
Tarigen Nuo'er,8456898,n,y,,2,y,
Yangshuwan,8644959,y,n,,2,y,
Bisiyingzi,8649148,y,n,,1,y,
Xiashuiquan,8469528,y,n,,2,y,
Shiwuhao,8644814,y,n,,1,y,
Tianshuigou,7526989,y,n,,2,y,
Onggon Ul Sum,2035538,n,y,,2,n,
Dayuanshan,8469626,y,n,,1,y,
Best Western Henglong Hotel Haotou,10290721,y,n,y,2,n,contains English and Chinese
Hou'ashen Langgou,8545701,n,y,,0,y,don't recognize
Ordos Desert,1800271,n,y,y,2,n,contains English and Mongolian
Chenyougou,8469552,y,n,,1,y,
Hsi-shui-ch'uan,2048280,y,n,,2,n,wade-giles
Liuhao,2053019,y,n,,1,y,
