"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","mon","chn","mon_grams","chn_grams","mon_sel","chn_sel","class"
1783849,"Zhuozi Shan","zhuozi shan","A-la-pu-so Shan,Alapusushan,Cho-tzu Shan,Zhuozi Shan,zhuo zi shan,桌子山",39.56797,107.03559,"T","MT",FALSE,TRUE,6,8,0,2,"Chinese"
1784142,"Zhoujiatian","zhoujiatian","",38.75,105.68333,"P","PPL",FALSE,TRUE,6,10,0,4,"Chinese"
1784997,"Zhangzihu","zhangzihu","",37.88333,104.76667,"P","PPL",FALSE,TRUE,4,7,0,3,"Chinese"
1785200,"Zhangjiagetai","zhangjiagetai","",39.63333,110.36667,"P","PPL",FALSE,TRUE,9,12,1,4,"Chinese"
1785392,"Zhaijia","zhaijia","Chai-chia,Zhaijia",37.73333,103.93333,"P","PPL",FALSE,FALSE,5,6,0,1,"Chinese"
1785608,"Yushuwan","yushuwan","",39.4275,111.24722,"P","PPL",FALSE,TRUE,4,6,0,2,"Chinese"
1785936,"Yuejiajing","yuejiajing","Yueh-chia-ching,Yuejiajing,Yüeh-chia-ching",37.58333,104.31667,"P","PPL",FALSE,TRUE,7,9,1,3,"Chinese"
1786691,"Yiketian","yiketian","",39.13333,105.96667,"P","PPL",FALSE,TRUE,5,7,1,3,"Chinese"
1786807,"Yemajing","yemajing","Yeh-ma-ching,Yemajing",39.55,102.95,"P","PPL",FALSE,TRUE,6,8,1,3,"Chinese"
1786980,"Yaogou","yaogou","",39.82667,111.40333,"P","PPL",FALSE,FALSE,2,5,0,3,"Chinese"
1787008,"Yaoba","yaoba","Yao-pa,Yaoba",38.53333,105.7,"P","PPL",FALSE,TRUE,1,4,0,3,"Chinese"
1787327,"Yangshita","yangshita","",39.34528,110.60861,"P","PPL",FALSE,FALSE,7,8,0,1,"Chinese"
1787809,"Yabrai","yabrai","Ya-pu-lai-yen-ch'ang,Ya-pu-lai-yen-ch’ang,Yabrai,Yabrai Yanchang",39.37778,102.85917,"P","PPL",FALSE,TRUE,2,4,0,2,"Chinese"
1787810,"Yabrai Shan","yabrai shan","Ya-pu-lai Shan,Ya-pu-lai-pa-ko,Yabaray Mountains,Yabrai Shan,Yabulai Shan,ya bu lai shan,雅布赖山",39.80472,103.11417,"T","MTS",FALSE,TRUE,7,9,0,2,"Chinese"
1787811,"Yabrai","yabrai","Ya-pu-lai,Yabrai",39.61667,103.06667,"P","PPL",FALSE,TRUE,2,4,0,2,"Chinese"
1788339,"Xishantou","xishantou","Hsi-shan-t'ou,Hsi-shan-t’ou,Xishantou",37.68333,104.1,"P","PPL",FALSE,FALSE,6,8,0,2,"Chinese"
1788475,"Xin Jo Sum","xin jo sum","Hsin-chao-miao,Sin'chzhao,Sin’chzhao,Xin Jo Sum,Xinzhao,Xinzhaomiao",39.46222,107.815,"P","PPL",FALSE,FALSE,5,9,0,4,"Chinese"
1788569,"Xinxijing","xinxijing","",37.50611,104.08778,"P","PPL",FALSE,TRUE,3,9,0,6,"Chinese"
1788584,"Xin Us","xin us","Hsi-ni-wu-su,Xin Us",38.98333,105.35,"P","PPL",FALSE,FALSE,3,4,1,2,"Chinese"
1788726,"Xinmiao","xinmiao","",39.36667,110.36667,"P","PPL",FALSE,TRUE,3,6,0,3,"Chinese"
1788769,"Xinjingcun","xinjingcun","",37.95,105.65,"P","PPL",FALSE,TRUE,4,10,0,6,"Chinese"
1788775,"Xinjie","xinjie","Cha-sa-k'o-ch'i,Cha-sa-k’o-ch’i,Hsin-chieh,I-chin-ho-lo-ch'i,I-chin-ho-lo-ch’i,O-erh-to-ssu-yu-i-ch'ien-mo-ch'i-pei-tzu-fu,O-erh-to-ssu-yu-i-ch’ien-mo-ch’i-pei-tzu-fu,Xinjie",39.24583,109.75944,"P","PPL",FALSE,TRUE,2,6,1,5,"Chinese"
1789136,"Xindi","xindi","",39.76667,106.78333,"P","PPL",FALSE,FALSE,2,4,0,2,"Chinese"
1789278,"Xinli","xinli","Hang-chin-ch'i,Hang-chin-ch’i,Hanggin Qi,Hsi-ni-chen,O-erh-to-ssu-yu-i-hou-ch'i,O-erh-to-ssu-yu-i-hou-ch'i-pei-lo-miao,O-erh-to-ssu-yu-i-hou-ch’i,O-erh-to-ssu-yu-i-hou-ch’i-pei-lo-miao,Xini Zhen,Xinli,hang jin qi,xi ni,xi ni zhen,杭锦旗,锡尼,锡尼镇",39.84417,108.73472,"P","PPLA3",FALSE,FALSE,2,4,0,2,"Chinese"
1790823,"Xarlag","xarlag","",38.03333,108.66667,"P","PPL",FALSE,FALSE,3,3,0,0,"Tie"
1790824,"Xar Bulag","xar bulag","",39.38333,104.78333,"P","PPL",FALSE,FALSE,6,6,0,0,"Tie"
1790826,"Xarag Mori","xarag mori","",38.82987,109.56255,"P","PPL",FALSE,FALSE,7,7,0,0,"Tie"
1790828,"Xajing","xajing","",39.4,108.4,"P","PPL",FALSE,FALSE,3,4,0,1,"Chinese"
1790832,"Wuziwan","wuziwan","",39.46667,110.76667,"P","PPL",FALSE,TRUE,2,5,0,3,"Chinese"
1791230,"Wuhudong","wuhudong","Wu-hu-tung,Wu-hu-tung-miao,Wuhudong",38.26667,107.26667,"P","PPL",FALSE,FALSE,6,6,0,0,"Tie"
1791248,"Wuhai Shi","wuhai shi","Wu-hai Shih,Wuhai,Wuhai Shi,wu hai,wu hai shi,wuhai shi,乌海,乌海市",39.53827,106.90579,"A","ADM2",FALSE,FALSE,7,7,0,0,"Tie"
1791249,"Wuhai","wuhai","Hai-p'o-wan-shih,Hai-po-wan,Hai-p’o-wan-shih,Haibowan,O Hai,O-hai-chhi,O͘-hái-chhī,U-hai,Uhajus,Ukhaj,Vu-hoi-su,Vuhajo,Vû-hói-sṳ,WUA,Wu-chaj,Wu-hai-shih,Wuhai,hai bo wan,uhai si,wu hai,wu hai shi,wwhay,Ô Hải,Ŭ-hāi,Ухай,Үхай хот,ووهای,ووہائی,乌海,乌海市,海勃湾,烏海,烏海市,우하이 시",39.68442,106.81583,"P","PPLA2",FALSE,FALSE,3,3,0,0,"Tie"
1791316,"Wudazhan","wudazhan","Wu-ta-chan,Wudazhan",39.41667,106.68333,"P","PPL",FALSE,TRUE,4,7,0,3,"Chinese"
1791325,"Wuda","wuda","Bayinsai,Ud,Wu-ta,Wu-ta-shih,Wuda,Wuda Qu,ba yin sai,wu da,wu da qu,乌达,乌达区,巴音赛",39.49944,106.71167,"P","PPL",FALSE,FALSE,1,2,0,1,"Chinese"
1792275,"Uxin Qi","uxin qi","Uxin,Uxin Qi,Wu-shen Ch'i,Wu-shen Ch’i,Wushen,Wushen Qi,wu shen,wu shen qi,乌审,乌审旗",38.59657,108.82552,"A","ADM3",FALSE,TRUE,2,6,0,4,"Chinese"
1792276,"Uxin Jo Sum","uxin jo sum","Uxin Jo Sum,Uxin Ju,Wu-shen-chao",39.08667,109.02222,"P","PPL",FALSE,TRUE,5,10,0,5,"Chinese"
1792277,"Undralt","undralt","",37.45,104.3,"P","PPL",FALSE,FALSE,5,3,2,0,"Mongolian"
1792278,"Ulan Xabartai","ulan xabartai","Shih-pa-t'ai,Shih-pa-t’ai,Ulan Xabartai",39.17194,109.40222,"P","PPL",FALSE,FALSE,8,9,0,1,"Chinese"
1792279,"Ulan Obo","ulan obo","",37.5,104.4,"P","PPL",FALSE,FALSE,6,4,2,0,"Mongolian"
1792281,"Ulan Mod","ulan mod","Ulan Mod,Wu-lan-mao-tao",39.8,104.83333,"P","PPL",FALSE,FALSE,6,6,0,0,"Tie"
1792282,"Ulan Had","ulan had","",37.7,104.7,"P","PPL",FALSE,FALSE,6,7,0,1,"Chinese"
1792283,"Ulan","ulan","Etuoke Qi,Khotok,O-cha-k'o-ch'i,O-cha-k’o-ch’i,O-erh-to-ssu-yu-i-chung-ch'i,O-erh-to-ssu-yu-i-chung-ch'i-wang-fu,O-erh-to-ssu-yu-i-chung-ch’i,O-erh-to-ssu-yu-i-chung-ch’i-wang-fu,O-t'o-k'o-ch'i,O-t'o-k'o-miao,O-t’o-k’o-ch’i,O-t’o-k’o-miao,Ordos Barun Gar Domda,Otog,Otog Qi,Residency Knyaz' Otok,Residency Knyaz’ Otok,Ulan,Ulan Balgas,Wu-lan-chen,Wu-lan-ha-la-ka-su,Wu-lan-ha-la-ka-su-chen,Wulan,Wulan Zhen,Wulanhalagasu,e tuo ke qi,wu lan,wu lan zhen,乌兰,乌兰镇,鄂托克旗",39.09374,107.98022,"P","PPLA3",FALSE,FALSE,2,2,0,0,"Tie"
1792284,"U Hudagin Nur","u hudagin nur","",38.35,107.45,"H","LK",FALSE,FALSE,12,12,1,1,"Tie"
1792372,"Tunggalag Nur","tunggalag nur","T'ung-ku-le-nao-erh,Tunggalag Nur,T’ung-ku-le-nao-erh",38.71667,105.15,"P","PPL",FALSE,FALSE,11,10,2,1,"Mongolian"
1792397,"Tulantai","tulantai","",38.6,104.3,"P","PPL",FALSE,FALSE,6,6,0,0,"Tie"
1792399,"Tujingzi","tujingzi","",38.26667,105.63333,"P","PPL",FALSE,TRUE,4,7,0,3,"Chinese"
1792412,"Tugetamiao","tugetamiao","T'u-ko-t'a-miao,Tugetamiao,T’u-ko-t’a-miao",38.23333,106.95,"P","PPL",FALSE,FALSE,9,9,1,1,"Tie"
1792415,"Tugaldai Sum","tugaldai sum","",39.05,109.26667,"P","PPL",TRUE,FALSE,10,8,2,0,"Mongolian"
1792501,"Tou Guan","tou guan","",38.26667,105.81667,"T","PASS",FALSE,FALSE,4,6,0,2,"Chinese"
1792505,"Toudaohu","toudaohu","T'ou-tao-hu,Toudaohu,T’ou-tao-hu",38.05,105.13333,"P","PPL",FALSE,FALSE,4,6,0,2,"Chinese"
1793045,"Tengger Shamo","tengger shamo","Peski Tenteri,T'eng-ko-li Sha-mo,T'eng-ko-li Sha-ti,Tenggeli Shamo,Tengger Shamo,Tengri Desert,Tenteri Sands,T’eng-ko-li Sha-mo,T’eng-ko-li Sha-ti,teng ge li sha mo,腾格里沙漠",37.95557,103.42822,"T","DSRT",FALSE,TRUE,11,12,2,3,"Chinese"
1793046,"Tengger Els","tengger els","T'eng-ko-li-o-li-ssu,Tengger Els,Tonghu,T’eng-ko-li-o-li-ssu",37.68333,104.8,"P","PPL",FALSE,TRUE,10,7,4,1,"Mongolian"
1793050,"Temet","temet","",38.56667,105.18333,"P","PPL",FALSE,FALSE,5,3,2,0,"Mongolian"
1793079,"Tariat","tariat","T'a-la-t'u,Tariat,T’a-la-t’u",39.23333,104.6,"P","PPL",FALSE,FALSE,4,3,1,0,"Mongolian"
1793733,"Ta’erling","ta'erling","",39.05,105.9,"P","PPL",FALSE,FALSE,5,4,1,0,"Mongolian"
1793856,"Sumt","sumt","",38.95,108.3,"P","PPL",TRUE,FALSE,2,1,1,0,"Mongolian"
1793912,"Suhait","suhait","Su-hai-t'u,Su-hai-t’u,Suhait",39.62556,105.08556,"P","PPL",FALSE,FALSE,4,4,0,0,"Tie"
1793913,"Suhait","suhait","",39.54083,106.65806,"P","PPL",FALSE,FALSE,4,4,0,0,"Tie"
1793932,"Subrag","subrag","",38.21667,108.8,"P","PPL",TRUE,TRUE,3,3,1,1,"Tie"
1794121,"Situojing","situojing","Situojing,Ssu-t'o-ching,Ssu-t’o-ching",39.6,104.45,"P","PPL",FALSE,TRUE,6,8,0,2,"Chinese"
1794436,"Shuimogou","shuimogou","Shui-mo-kou,Shuimogou",38.95,105.85,"P","PPL",FALSE,TRUE,4,7,0,3,"Chinese"
1795947,"Shantaizi","shantaizi","Shan-t'ai-tzu,Shan-t’ai-tzu,Shantaizi,dan tai zi,单台子",39.68611,111.45972,"P","PPLA4",FALSE,TRUE,5,7,0,2,"Chinese"
1796235,"Shanghaimiao Muchang","shanghaimiao muchang","Shanghaimiao Muchang",38.21667,106.81667,"P","PPLF",FALSE,TRUE,13,15,0,2,"Chinese"
1796444,"Shagedu","shagedu","Chun-ko-erh-ch'i,Chun-ko-erh-ch’i,Dzhungar-Ci,Jungar Qi,O-erh-to-ssu-tso-i-ch'ien-ch'i,O-erh-to-ssu-tso-i-ch’ien-ch’i,Sha-ch'i-tu,Sha-ch’i-tu,Sha-ko-tu,Shagedu,Shagedu Zhen,Zhunge'er Qi,Zhunge’er Qi,sha ge du,sha ge du zhen,zhun ge er qi,Джунгар-Ци,准格尔旗,沙圪堵,沙圪堵镇",39.6475,110.85944,"P","PPLA4",FALSE,FALSE,6,5,2,1,"Mongolian"
1796503,"Sartai","sartai","",39.3,102.7,"P","PPL",FALSE,FALSE,4,3,1,0,"Mongolian"
1796546,"Sanyanjing","sanyanjing","",39.5,107.31667,"P","PPL",FALSE,FALSE,7,10,0,3,"Chinese"
1796870,"Sanguan","sanguan","",38.36667,105.8,"P","PPL",FALSE,TRUE,4,5,0,1,"Chinese"
1796887,"Sanggin Dalai","sanggin dalai","Sanggin Dalai,Shan-ken-ta-lai",38.23333,105.4,"P","PPL",TRUE,FALSE,11,10,1,0,"Mongolian"
1796894,"Sangejing","sangejing","Gurban Hudag,San-ko-chin,Sangejing",39.63333,100.75,"P","PPL",FALSE,TRUE,7,8,1,2,"Chinese"
1796916,"Sanduandi","sanduandi","",38.11667,107.4,"P","PPL",FALSE,TRUE,6,6,1,1,"Tie"
1796917,"Sanduandi","sanduandi","San-tuan-ti,Sanduandi",38.1,107.8,"P","PPL",FALSE,TRUE,6,6,1,1,"Tie"
1796938,"Sandaokan","sandaokan","San-tao-k'an,San-tao-k’an,Sandaokan,Shan-tao-kan",39.5,106.7,"P","PPL",FALSE,FALSE,6,7,0,1,"Chinese"
1796939,"Sandaohumiao","sandaohumiao","San-tao-hu-miao,Sandaohumiao",38.28333,104.36667,"P","PPL",FALSE,FALSE,9,10,0,1,"Chinese"
1796940,"Sandaohu","sandaohu","",38.1,104.83333,"P","PPL",FALSE,FALSE,5,6,0,1,"Chinese"
1796992,"Sanbei Yangchang","sanbei yangchang","",39.2,107.26667,"P","PPL",FALSE,FALSE,12,13,2,3,"Chinese"
1797002,"Sairgaltin Hudag","sairgaltin hudag","",38.15,105.15,"P","PPL",TRUE,FALSE,14,13,2,1,"Mongolian"
1797004,"Sain Us","sain us","",39.16667,107.3,"P","PPL",FALSE,FALSE,5,4,1,0,"Mongolian"
1797650,"Qingyangshan","qingyangshan","Ch'ing-yang-shan,Ch’ing-yang-shan,Qingyangshan",37.61667,104.03333,"P","PPL",FALSE,FALSE,10,11,0,1,"Chinese"
1797730,"Qingshuihe Xian","qingshuihe xian","Ch'ing-shui-ho Hsien,Ch’ing-shui-ho Hsien,Qingshuihe,Qingshuihe Xian,qing shui he,qing shui he xian,清水河,清水河县",39.91779,111.68687,"A","ADM3",FALSE,FALSE,12,14,1,3,"Chinese"
1797735,"Chengguan","chengguan","Ch'ing-shui-ho,Ch'ing-shui-ho-hsien,Ch'ung-shui-ho,Chengguan,Chengguan Zhen,Ch’ing-shui-ho,Ch’ing-shui-ho-hsien,Ch’ung-shui-ho,Qingshuihe,Tsingshuiho,cheng guan,cheng guan zhen,qing shui he,城关,城关镇,清水河",39.90722,111.67333,"P","PPLA3",FALSE,TRUE,6,7,1,2,"Chinese"
1798172,"Qiaojiawopu","qiaojiawopu","Ch'iao-chia-wo-p'u,Ch’iao-chia-wo-p’u,Qiaojiawopu",38.31667,103.7,"P","PPL",FALSE,TRUE,6,10,0,4,"Chinese"
1798388,"Qarag","qarag","",39.36667,106.11667,"P","PPL",FALSE,FALSE,3,2,1,0,"Mongolian"
1798390,"Qalgar Nur","qalgar nur","",38.01667,104.36667,"H","LK",FALSE,FALSE,9,4,5,0,"Mongolian"
1798391,"Qalgarin Sum","qalgarin sum","Ch'a-la-hu-miao,Ch’a-la-hu-miao,Qalgarin Sum",38.06667,104.41667,"P","PPL",FALSE,FALSE,10,7,3,0,"Mongolian"
1798392,"Qalgar","qalgar","",37.96667,104.43333,"P","PPL",FALSE,FALSE,4,1,3,0,"Mongolian"
1798393,"Qalgar","qalgar","Ch'a-la-ko-erh,Ch’a-la-ko-erh,Qalgar",37.93333,104.51667,"P","PPL",FALSE,FALSE,4,1,3,0,"Mongolian"
1798395,"Qaidam","qaidam","",39.85361,109.58306,"P","PPL",FALSE,TRUE,3,4,1,2,"Chinese"
1798396,"Qagan Tolgoi","qagan tolgoi","",38.2,108.03333,"P","PPL",TRUE,FALSE,10,6,4,0,"Mongolian"
1798397,"Qagan Tal","qagan tal","",38.76861,109.09389,"P","PPL",FALSE,FALSE,7,7,0,0,"Tie"
1798398,"Qagan Obo","qagan obo","Ch'a-han-ao-pao,Ch’a-han-ao-pao,Qagan Obo",39.95,104.58333,"P","PPL",FALSE,FALSE,7,5,2,0,"Mongolian"
1798399,"Qagan Nur","qagan nur","Ch'a-kan-no-erh,Ch’a-kan-no-erh,Qagan Nur",39.24583,108.06333,"P","PPL",FALSE,FALSE,8,7,1,0,"Mongolian"
1798400,"Qagan Bulag","qagan bulag","Ch'a-han-eh'ih,Ch’a-han-eh’ih,Qagan Bulag",38.36667,104.66667,"P","PPL",FALSE,FALSE,9,9,0,0,"Tie"
1798401,"Qagan Bulag","qagan bulag","Ch'a-han Ch'ih,Ch’a-han Ch’ih,Qagan Bulag",38.4,104.66667,"H","LK",FALSE,FALSE,9,9,0,0,"Tie"
1798402,"Qabqir","qabqir","Qabqir,Qabqir Jiedao,Qiabuqi,ka bu qi,ka bu qi jie dao,卡布其,卡布其街道",39.61611,106.87361,"P","PPLA4",FALSE,TRUE,2,0,2,0,"Mongolian"
1798404,"Qab","qab","Bulanggin Sum,Pu-lung-miao,Qab",38.93333,107.38333,"P","PPL",FALSE,FALSE,1,0,1,0,"Mongolian"
1798575,"Burjang Haizi","burjang haizi","Burjang Haizi,Pojianghaizi",39.84889,109.34083,"P","PPL",TRUE,TRUE,9,10,3,4,"Chinese"
1798949,"Pendiqing","pendiqing","Pendiqing,Pendiqing Xiang,pen de qing,pen de qing xiang,盆地青,盆地青乡",39.94191,112.00383,"P","PPLA4",FALSE,TRUE,6,7,1,2,"Chinese"
1799151,"Otog Qianqi","otog qianqi","Etuoke,Etuoke Qianqi,O-t'o-k'o Ch'ien-ch'i,O-t’o-k’o Ch’ien-ch’i,Otog,Otog Qianqi,e tuo ke,e tuo ke qian qi,鄂托克,鄂托克前旗",38.25408,107.67924,"A","ADM3",TRUE,TRUE,5,8,1,4,"Chinese"
1799152,"Otog Qi","otog qi","Etuoke,Etuoke Qi,Khotok Banner,O-t'o-k'o Ch'i,O-t’o-k’o Ch’i,Ot'ok'e Banner,Otog,Otog Qi,Ot’ok’e Banner,e tuo ke,e tuo ke qi,鄂托克,鄂托克旗",39.27207,107.75553,"A","ADM3",TRUE,FALSE,3,4,1,2,"Chinese"
1799153,"Ordos Gaoyuan","ordos gaoyuan","",39,109,"T","PLAT",TRUE,TRUE,10,10,1,1,"Tie"
1799154,"Ordon Nur","ordon nur","Ordon Nur,Wu-jih-te-no-erh",38.86667,108.36667,"P","PPL",FALSE,FALSE,8,7,1,0,"Mongolian"
1799155,"Oljoq","oljoq","Ao-le-chao-ch'i,Ao-le-chao-ch’i,Aolezhaoqi Zhen,Etuokeqian Qi,Oljoq,Otog Qianqi,ao lei zhao qi,ao lei zhao qi zhen,e tuo ke qian qi,敖勒召其,敖勒召其镇,鄂托克前旗",38.17979,107.47506,"P","PPLA3",TRUE,FALSE,1,1,1,1,"Tie"
1799157,"Obon Xil","obon xil","",39.9,110.3,"P","PPL",FALSE,FALSE,3,7,0,4,"Chinese"
1799170,"Nurigai","nurigai","Nurigai,Nurigai Sumu,nu ri gai,nu ri gai su mu,努日盖,努日盖苏木",39.49432,101.0804,"P","PPLA4",FALSE,FALSE,6,5,1,0,"Mongolian"
1799185,"Nuanquanshang","nuanquanshang","Nuan-ch'uan-shang,Nuan-ch’üan-shang,Nuanquanshang",39.71667,111.71667,"P","PPL",FALSE,TRUE,8,11,0,3,"Chinese"
1799187,"Nuanquan","nuanquan","",39.66667,111.8,"P","PPL",FALSE,TRUE,3,6,0,3,"Chinese"
1799198,"Nogon Toli","nogon toli","Nao-kan-t'ao-le,Nao-kan-t’ao-le,Nogon Toli",39.31667,105.55,"P","PPL",FALSE,FALSE,8,6,2,0,"Mongolian"
1799320,"Niuchangwan","niuchangwan","",39.3,108.95,"P","PPL",FALSE,FALSE,9,9,0,0,"Tie"
1799520,"Narin Xil","narin xil","",39.4,109.28333,"P","PPL",FALSE,FALSE,4,7,1,4,"Chinese"
1799521,"Narin Tal","narin tal","Na-lin-t'a,Na-lin-t’a,Narin Tal",39.56806,110.23806,"P","PPL",FALSE,FALSE,7,6,1,0,"Mongolian"
1799522,"Narin Nur","narin nur","Na-lin-nao,Narin Nur",39.39556,108.26472,"P","PPL",FALSE,FALSE,8,6,2,0,"Mongolian"
1799523,"Narin","narin","Na-lin,Narin",39.80056,110.74111,"P","PPL",FALSE,FALSE,3,2,1,0,"Mongolian"
1800056,"Nangsin Sum","nangsin sum","Ang-su-miao,Nangsin Sum",38.25,108.08333,"P","PPL",FALSE,FALSE,9,9,0,0,"Tie"
1800271,"Ordos Desert","ordos desert","Khetao,Mao-wu-su Sha-mo,Maowusu Desert,Mu Us Shamo,O-erh-to-ssu,Ordos,Ordos Desert",38.75,109.16639,"T","DSRT",TRUE,FALSE,11,9,2,0,"Mongolian"
1800299,"Mujingzi","mujingzi","Mu-ching-tzu,Mujingzi",38.37,105.7025,"P","PPL",FALSE,TRUE,3,7,0,4,"Chinese"
1800406,"Mogoit","mogoit","",38.4,107.61667,"P","PPL",TRUE,FALSE,4,2,2,0,"Mongolian"
1800705,"Mengong","mengong","Men-kung,Mengong",39.28333,109.53333,"P","PPL",FALSE,FALSE,6,5,1,0,"Mongolian"
1801107,"Mashan","mashan","Ma-p'eng-ts'un,Ma-p’eng-ts’un,Mapeng,Mashan",39.43056,111.19806,"P","PPL",FALSE,FALSE,4,5,0,1,"Chinese"
1801283,"Manlai","manlai","",39.78333,109.5,"P","PPL",FALSE,FALSE,4,5,0,1,"Chinese"
1801304,"Manght Sum","manght sum","Ma-ha-t'u-miao,Ma-ha-t’u-miao,Manght Sum",38.61667,108.71667,"P","PPL",FALSE,TRUE,7,8,0,1,"Chinese"
1801380,"Malad","malad","",38.35306,108.02583,"P","PPL",FALSE,TRUE,2,4,0,2,"Chinese"
1802195,"Luanjing","luanjing","Luan-ching,Luanjing",37.96556,105.36417,"P","PPL",FALSE,FALSE,6,7,1,2,"Chinese"
1802422,"Longshou Shan","longshou shan","Khrebet Lunshoushan',Khrebet Lunshoushan’,Longshou Shan,Lun Shan Range,Lung-shou Shan,Lung-t'ou Shan-mo,Lung-t’ou Shan-mo,long shou shan,龙首山",39.04847,101.13906,"T","MTS",FALSE,FALSE,9,11,0,2,"Chinese"
1803043,"Liujiata","liujiata","",39.925,111.09472,"P","PPL",FALSE,TRUE,5,7,0,2,"Chinese"
1803163,"Liudu Jing","liudu jing","",39.06667,104.45,"H","WLL",FALSE,TRUE,8,9,1,2,"Chinese"
1804271,"Lasengmiao","lasengmiao","Lasengmiao,Lasengmiao Zhen,la seng miao,la seng miao zhen,拉僧庙,拉僧庙镇",39.32306,106.83556,"P","PPLA4",FALSE,TRUE,8,8,1,1,"Tie"
1804330,"Laoshidan","laoshidan","Laoshidan,Laoshidanzhen,lao shi dan,lao shi dan zhen,老石担,老石担镇",39.36667,106.83333,"P","PPL",FALSE,FALSE,7,7,0,0,"Tie"
1804633,"Kushuigoumen","kushuigoumen","",39.1,106.88333,"P","PPL",FALSE,TRUE,8,10,1,3,"Chinese"
1804918,"Juntuliang","juntuliang","Chun-t'u-liang,Chün-t’u-liang,Juntuliang",39.705,109.06917,"P","PPL",FALSE,FALSE,8,9,0,1,"Chinese"
1804940,"Jungar Qi","jungar qi","Chun-ko-erh Ch'i,Chun-ko-erh Ch’i,Dzungar Banner,Jiage'er Qi,Jiage’er Qi,Jungar,Jungar Qi,Zhunge'er,Zhunge'er Qi,Zhunge’er,Zhunge’er Qi,zhun ge er,zhun ge er qi,准格尔,准格尔旗",39.86678,111.23282,"A","ADM3",FALSE,FALSE,6,8,0,2,"Chinese"
1804952,"Jun Bel","jun bel","Jun Bel,Tsung-pieh-li",39.26667,106.16667,"P","PPL",FALSE,FALSE,6,6,1,1,"Tie"
1804970,"Juh","juh","Chu-ho,Juh",37.88333,108.01667,"P","PPL",FALSE,FALSE,0,2,0,2,"Chinese"
1805225,"Jiudengkou","jiudengkou","Chiu-teng-k'ou,Chiu-teng-k’ou,Denkou,Jiudengkou,Teng-k'ou,Teng-k'ou-chen,Teng-k'ou-hsien,Teng-k'ou-ku-chih,Teng-k’ou,Teng-k’ou-chen,Teng-k’ou-hsien,Teng-k’ou-ku-chih,Tengkow,Ting-k'ou-chen,Ting-k’ou-chen",39.93111,106.71833,"P","PPL",FALSE,TRUE,6,9,1,4,"Chinese"
1805244,"Jiucaizhuang","jiucaizhuang","Chiu-ts'ai-chuang,Chiu-ts’ai-chuang,Jiucaizhuang,jiu cai zhuang,韭菜庄",39.84194,111.90222,"P","PPLA4",FALSE,TRUE,6,11,0,5,"Chinese"
