"geonameid","hasuntuya_asciiname","hasuntuya_zh","hasuntuya_mn","sarala_asciiname","sarala_zh","sarala_mn","sarala_other","sarala_certainty.012","sarala_pinyin.compliant","sarala_notes","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","mon_sel","mon_grams","chn_sel","class","chn_grams"
1786980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yaogou","yaogou","",39.82667,111.40333,"P","PPL",1,"ogo",4,"Chinese","aog;gou;ya;yao"
1787008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yaoba","yaoba","Yao-pa,Yaoba",38.53333,105.7,"P","PPL",1,"ob",4,"Chinese","aob;oba;ya;yao"
1787327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yangshita","yangshita","",39.34528,110.60861,"P","PPL",0,"",8,"Chinese","ang;gsh;hit;ita;ngs;shi;ya;yan"
1787809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yabrai","yabrai","Ya-pu-lai-yen-ch'ang,Ya-pu-lai-yen-ch’ang,Yabrai,Yabrai Yanchang",39.37778,102.85917,"P","PPL",4,"abr;bra;rai;yab",1,"Mongolian","ya"
1787810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yabrai Shan","yabrai shan","Ya-pu-lai Shan,Ya-pu-lai-pa-ko,Yabaray Mountains,Yabrai Shan,Yabulai Shan,ya bu lai shan,雅布赖山",39.80472,103.11417,"T","MTS",7," sh;abr;ai ;bra;i s;rai;yab",3,"Mongolian","han;sha;ya"
1787811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yabrai","yabrai","Ya-pu-lai,Yabrai",39.61667,103.06667,"P","PPL",4,"abr;bra;rai;yab",1,"Mongolian","ya"
1788339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xishantou","xishantou","Hsi-shan-t'ou,Hsi-shan-t’ou,Xishantou",37.68333,104.1,"P","PPL",2,"ant;nto",6,"Chinese","han;ish;sha;tou;xi;xis"
1788475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xin Jo Sum","xin jo sum","Hsin-chao-miao,Sin'chzhao,Sin’chzhao,Xin Jo Sum,Xinzhao,Xinzhaomiao",39.46222,107.815,"P","PPL",7," jo; su;in ;jo ;n j;o s;sum",3,"Mongolian","j;xi;xin"
1788569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinxijing","xinxijing","",37.50611,104.08778,"P","PPL",0,"",9,"Chinese","iji;ing;inx;j;jin;nxi;xi;xij;xin"
1788584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xin Us","xin us","Hsi-ni-wu-su,Xin Us",38.98333,105.35,"P","PPL",3," us;in ;n u",2,"Mongolian","xi;xin"
1788726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinmiao","xinmiao","",39.36667,110.36667,"P","PPL",0,"",6,"Chinese","iao;inm;mia;nmi;xi;xin"
1788769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinjingcun","xinjingcun","",37.95,105.65,"P","PPL",0,"",10,"Chinese","cun;gcu;ing;inj;j;jin;ngc;nji;xi;xin"
1788775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinjie","xinjie","Cha-sa-k'o-ch'i,Cha-sa-k’o-ch’i,Hsin-chieh,I-chin-ho-lo-ch'i,I-chin-ho-lo-ch’i,O-erh-to-ssu-yu-i-ch'ien-mo-ch'i-pei-tzu-fu,O-erh-to-ssu-yu-i-ch’ien-mo-ch’i-pei-tzu-fu,Xinjie",39.24583,109.75944,"P","PPL",1,"e",6,"Chinese","inj;j;jie;nji;xi;xin"
1789136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xindi","xindi","",39.76667,106.78333,"P","PPL",0,"",4,"Chinese","ind;ndi;xi;xin"
1789278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xinli","xinli","Hang-chin-ch'i,Hang-chin-ch’i,Hanggin Qi,Hsi-ni-chen,O-erh-to-ssu-yu-i-hou-ch'i,O-erh-to-ssu-yu-i-hou-ch'i-pei-lo-miao,O-erh-to-ssu-yu-i-hou-ch’i,O-erh-to-ssu-yu-i-hou-ch’i-pei-lo-miao,Xini Zhen,Xinli,hang jin qi,xi ni,xi ni zhen,杭锦旗,锡尼,锡尼镇",39.84417,108.73472,"P","PPLA3",0,"",4,"Chinese","inl;nli;xi;xin"
1790823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xarlag","xarlag","",38.03333,108.66667,"P","PPL",2,"arl;lag",1,"Mongolian","rla"
1790824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xar Bulag","xar bulag","",39.38333,104.78333,"P","PPL",7," bu;ar ;bul;lag;r b;ul;ula",0,"Mongolian",""
1790826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xarag Mori","xarag mori","",38.82987,109.56255,"P","PPL",7," mo;ag ;ara;g m;mor;ori;rag",0,"Mongolian",""
1790828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xajing","xajing","",39.4,108.4,"P","PPL",0,"",4,"Chinese","aji;ing;j;jin"
1790832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wuziwan","wuziwan","",39.46667,110.76667,"P","PPL",0,"",5,"Chinese","iwa;uzi;wan;wuz;ziw"
1791230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wuhudong","wuhudong","Wu-hu-tung,Wu-hu-tung-miao,Wuhudong",38.26667,107.26667,"P","PPL",1,"hud",5,"Chinese","don;ong;udo;uhu;wuh"
1791248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wuhai Shi","wuhai shi","Wu-hai Shih,Wuhai,Wuhai Shi,wu hai,wu hai shi,wuhai shi,乌海,乌海市",39.53827,106.90579,"A","ADM2",4," sh;ai ;i s;uha",3,"Mongolian","hai;shi;wuh"
1791249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wuhai","wuhai","Hai-p'o-wan-shih,Hai-po-wan,Hai-p’o-wan-shih,Haibowan,O Hai,O-hai-chhi,O͘-hái-chhī,U-hai,Uhajus,Ukhaj,Vu-hoi-su,Vuhajo,Vû-hói-sṳ,WUA,Wu-chaj,Wu-hai-shih,Wuhai,hai bo wan,uhai si,wu hai,wu hai shi,wwhay,Ô Hải,Ŭ-hāi,Ухай,Үхай хот,ووهای,ووہائی,乌海,乌海市,海勃湾,烏海,烏海市,우하이 시",39.68442,106.81583,"P","PPLA2",1,"uha",2,"Chinese","hai;wuh"
1791316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wudazhan","wudazhan","Wu-ta-chan,Wudazhan",39.41667,106.68333,"P","PPL",1,"uda",6,"Chinese","az;azh;daz;han;wud;zha"
1791325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wuda","wuda","Bayinsai,Ud,Wu-ta,Wu-ta-shih,Wuda,Wuda Qu,ba yin sai,wu da,wu da qu,乌达,乌达区,巴音赛",39.49944,106.71167,"P","PPL",1,"uda",1,"Tie","wud"
1792275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uxin Qi","uxin qi","Uxin,Uxin Qi,Wu-shen Ch'i,Wu-shen Ch’i,Wushen,Wushen Qi,wu shen,wu shen qi,乌审,乌审旗",38.59657,108.82552,"A","ADM3",1,"in ",5,"Chinese"," qi;n q;uxi;xi;xin"
1792276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uxin Jo Sum","uxin jo sum","Uxin Jo Sum,Uxin Ju,Wu-shen-chao",39.08667,109.02222,"P","PPL",7," jo; su;in ;jo ;n j;o s;sum",4,"Mongolian","j;uxi;xi;xin"
1792277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undralt","undralt","",37.45,104.3,"P","PPL",5,"alt;dra;ndr;ral;und",0,"Mongolian",""
1792278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ulan Xabartai","ulan xabartai","Shih-pa-t'ai,Shih-pa-t’ai,Ulan Xabartai",39.17194,109.40222,"P","PPL",8,"aba;an ;art;bar;lan;rta;ul;ula",2,"Mongolian","n x;tai"
1792279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ulan Obo","ulan obo","",37.5,104.4,"P","PPL",8," ob;an ;lan;n o;ob;obo;ul;ula",0,"Mongolian",""
1792281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ulan Mod","ulan mod","Ulan Mod,Wu-lan-mao-tao",39.8,104.83333,"P","PPL",7," mo;an ;lan;mod;n m;ul;ula",0,"Mongolian",""
1792282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ulan Had","ulan had","",37.7,104.7,"P","PPL",7," ha;an ;had;lan;n h;ul;ula",1,"Mongolian"," h"
1792283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ulan","ulan","Etuoke Qi,Khotok,O-cha-k'o-ch'i,O-cha-k’o-ch’i,O-erh-to-ssu-yu-i-chung-ch'i,O-erh-to-ssu-yu-i-chung-ch'i-wang-fu,O-erh-to-ssu-yu-i-chung-ch’i,O-erh-to-ssu-yu-i-chung-ch’i-wang-fu,O-t'o-k'o-ch'i,O-t'o-k'o-miao,O-t’o-k’o-ch’i,O-t’o-k’o-miao,Ordos Barun Gar Domda,Otog,Otog Qi,Residency Knyaz' Otok,Residency Knyaz’ Otok,Ulan,Ulan Balgas,Wu-lan-chen,Wu-lan-ha-la-ka-su,Wu-lan-ha-la-ka-su-chen,Wulan,Wulan Zhen,Wulanhalagasu,e tuo ke qi,wu lan,wu lan zhen,乌兰,乌兰镇,鄂托克旗",39.09374,107.98022,"P","PPLA3",3,"lan;ul;ula",0,"Mongolian",""
1792284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U Hudagin Nur","u hudagin nur","",38.35,107.45,"H","LK",12," hu; nu;agi;dag;gin;hud;in ;n n;nur;u h;uda;ur",1,"Mongolian"," h"
1792372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tunggalag Nur","tunggalag nur","T'ung-ku-le-nao-erh,Tunggalag Nur,T’ung-ku-le-nao-erh",38.71667,105.15,"P","PPL",10," nu;ag ;ala;g n;gal;lag;nur;tun;ung;ur",2,"Mongolian","gga;ngg"
1792397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tulantai","tulantai","",38.6,104.3,"P","PPL",6,"ant;lan;nta;tul;ul;ula",1,"Mongolian","tai"
1792399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tujingzi","tujingzi","",38.26667,105.63333,"P","PPL",1,"tuj",6,"Chinese","gzi;ing;j;jin;ngz;uji"
1792412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tugetamiao","tugetamiao","T'u-ko-t'a-miao,Tugetamiao,T’u-ko-t’a-miao",38.23333,106.95,"P","PPL",5,"ami;e;get;tam;tug",5,"Tie","am;eta;iao;mia;uge"
1792415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tugaldai Sum","tugaldai sum","",39.05,109.26667,"P","PPL",9," su;ai ;ald;gal;i s;lda;sum;tug;uga",1,"Mongolian","dai"
1792501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tou Guan","tou guan","",38.26667,105.81667,"T","PASS",2," gu;u g",4,"Chinese","gua;ou ;tou;uan"
1792505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Toudaohu","toudaohu","T'ou-tao-hu,Toudaohu,T’ou-tao-hu",38.05,105.13333,"P","PPL",1,"uda",5,"Chinese","aoh;dao;ohu;oud;tou"
1793045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tengger Shamo","tengger shamo","Peski Tenteri,T'eng-ko-li Sha-mo,T'eng-ko-li Sha-ti,Tenggeli Shamo,Tengger Shamo,Tengri Desert,Tenteri Sands,T’eng-ko-li Sha-mo,T’eng-ko-li Sha-ti,teng ge li sha mo,腾格里沙漠",37.95557,103.42822,"T","DSRT",8," sh;e;er ;ger;ham;r s;te;ten",6,"Mongolian","am;amo;eng;gge;ngg;sha"
1793046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tengger Els","tengger els","T'eng-ko-li-o-li-ssu,Tengger Els,Tonghu,T’eng-ko-li-o-li-ssu",37.68333,104.8,"P","PPL",8," el;e;els;er ;ger;r e;te;ten",3,"Mongolian","eng;gge;ngg"
1793050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Temet","temet","",38.56667,105.18333,"P","PPL",5,"e;eme;met;te;tem",0,"Mongolian",""
1793079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tariat","tariat","T'a-la-t'u,Tariat,T’a-la-t’u",39.23333,104.6,"P","PPL",3,"ari;ria;tar",1,"Mongolian","iat"
1793733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ta’erling","ta'erling","",39.05,105.9,"P","PPL",3,"e;erl;rli",2,"Mongolian","ing;lin"
1793856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sumt","sumt","",38.95,108.3,"P","PPL",2,"sum;umt",0,"Mongolian",""
1793912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suhait","suhait","Su-hai-t'u,Su-hai-t’u,Suhait",39.62556,105.08556,"P","PPL",2,"suh;uha",2,"Tie","ait;hai"
1793913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suhait","suhait","",39.54083,106.65806,"P","PPL",2,"suh;uha",2,"Tie","ait;hai"
1793932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Subrag","subrag","",38.21667,108.8,"P","PPL",4,"bra;rag;sub;ubr",0,"Mongolian",""
1794121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Situojing","situojing","Situojing,Ssu-t'o-ching,Ssu-t’o-ching",39.6,104.45,"P","PPL",0,"",8,"Chinese","ing;itu;j;jin;oji;sit;tuo;uoj"
1794436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shuimogou","shuimogou","Shui-mo-kou,Shuimogou",38.95,105.85,"P","PPL",2,"mog;ogo",5,"Chinese","gou;hui;imo;shu;uim"
1795947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shantaizi","shantaizi","Shan-t'ai-tzu,Shan-t’ai-tzu,Shantaizi,dan tai zi,单台子",39.68611,111.45972,"P","PPLA4",2,"ant;nta",5,"Chinese","aiz;han;izi;sha;tai"
1796235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shanghaimiao Muchang","shanghaimiao muchang","Shanghaimiao Muchang",38.21667,106.81667,"P","PPLF",2," mu;o m",13,"Chinese","aim;ang;cha;gha;hai;han;iao;imi;mia;muc;ngh;sha;uch"
1796444,"Shagedu","n","y","Shagedu","n","y","",0,"y","","Shagedu","shagedu","Chun-ko-erh-ch'i,Chun-ko-erh-ch’i,Dzhungar-Ci,Jungar Qi,O-erh-to-ssu-tso-i-ch'ien-ch'i,O-erh-to-ssu-tso-i-ch’ien-ch’i,Sha-ch'i-tu,Sha-ch’i-tu,Sha-ko-tu,Shagedu,Shagedu Zhen,Zhunge'er Qi,Zhunge’er Qi,sha ge du,sha ge du zhen,zhun ge er qi,Джунгар-Ци,准格尔旗,沙圪堵,沙圪堵镇",39.6475,110.85944,"P","PPLA4",2,"du;e",5,"Chinese","age;edu;ged;hag;sha"
1796503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sartai","sartai","",39.3,102.7,"P","PPL",3,"art;rta;sar",1,"Mongolian","tai"
1796546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanyanjing","sanyanjing","",39.5,107.31667,"P","PPL",0,"",10,"Chinese","anj;any;ing;j;jin;nji;nya;san;ya;yan"
1796870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanguan","sanguan","",38.36667,105.8,"P","PPL",0,"",5,"Chinese","ang;gua;ngu;san;uan"
1796887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanggin Dalai","sanggin dalai","Sanggin Dalai,Shan-ken-ta-lai",38.23333,105.4,"P","PPL",8," da;ala;dal;ggi;gin;in ;lai;n d",3,"Mongolian","ang;ngg;san"
1796894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sangejing","sangejing","Gurban Hudag,San-ko-chin,Sangejing",39.63333,100.75,"P","PPL",2,"e;nge",7,"Chinese","ang;eji;gej;ing;j;jin;san"
1796916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanduandi","sanduandi","",38.11667,107.4,"P","PPL",3,"and;du;ndu",4,"Chinese","dua;ndi;san;uan"
1796917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanduandi","sanduandi","San-tuan-ti,Sanduandi",38.1,107.8,"P","PPL",3,"and;du;ndu",4,"Chinese","dua;ndi;san;uan"
1796938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sandaokan","sandaokan","San-tao-k'an,San-tao-k’an,Sandaokan,Shan-tao-kan",39.5,106.7,"P","PPL",3,"and;nda;oka",4,"Chinese","aok;dao;kan;san"
1796939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sandaohumiao","sandaohumiao","San-tao-hu-miao,Sandaohumiao",38.28333,104.36667,"P","PPL",2,"and;nda",8,"Chinese","aoh;dao;hum;iao;mia;ohu;san;umi"
1796940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sandaohu","sandaohu","",38.1,104.83333,"P","PPL",2,"and;nda",4,"Chinese","aoh;dao;ohu;san"
1796992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sanbei Yangchang","sanbei yangchang","",39.2,107.26667,"P","PPL",3," ya;e;ei ",12,"Chinese","anb;ang;bei;cha;gch;han;i y;nbe;ngc;san;ya;yan"
1797002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sairgaltin Hudag","sairgaltin hudag","",38.15,105.15,"P","PPL",14," hu;air;alt;dag;gal;hud;in ;irg;lti;n h;rga;sai;tin;uda",1,"Mongolian"," h"
1797004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sain Us","sain us","",39.16667,107.3,"P","PPL",5," us;ain;in ;n u;sai",0,"Mongolian",""
1797650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qingyangshan","qingyangshan","Ch'ing-yang-shan,Ch’ing-yang-shan,Qingyangshan",37.61667,104.03333,"P","PPL",0,"",11,"Chinese","ang;gsh;gya;han;ing;ngs;ngy;qin;sha;ya;yan"
1797730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qingshuihe Xian","qingshuihe xian","Ch'ing-shui-ho Hsien,Ch’ing-shui-ho Hsien,Qingshuihe,Qingshuihe Xian,qing shui he,qing shui he xian,清水河,清水河县",39.91779,111.68687,"A","ADM3",2,"e;he ",13,"Chinese"," xi;e x;gsh;hui;ian;ihe;ing;ngs;qin;shu;uih;xi;xia"
1797735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chengguan","chengguan","Ch'ing-shui-ho,Ch'ing-shui-ho-hsien,Ch'ung-shui-ho,Chengguan,Chengguan Zhen,Ch’ing-shui-ho,Ch’ing-shui-ho-hsien,Ch’ung-shui-ho,Qingshuihe,Tsingshuiho,cheng guan,cheng guan zhen,qing shui he,城关,城关镇,清水河",39.90722,111.67333,"P","PPLA3",1,"e",7,"Chinese","che;eng;ggu;gua;hen;ngg;uan"
1798172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qiaojiawopu","qiaojiawopu","Ch'iao-chia-wo-p'u,Ch’iao-chia-wo-p’u,Qiaojiawopu",38.31667,103.7,"P","PPL",1,"opu",9,"Chinese","aoj;awo;iao;iaw;j;jia;oji;qia;wop"
1798388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qarag","qarag","",39.36667,106.11667,"P","PPL",3,"ara;qar;rag",0,"Mongolian",""
1798390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qalgar Nur","qalgar nur","",38.01667,104.36667,"H","LK",9," nu;alg;ar ;gar;lga;nur;qal;r n;ur",0,"Mongolian",""
1798391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qalgarin Sum","qalgarin sum","Ch'a-la-hu-miao,Ch’a-la-hu-miao,Qalgarin Sum",38.06667,104.41667,"P","PPL",10," su;alg;ari;gar;in ;lga;n s;qal;rin;sum",0,"Mongolian",""
1798392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qalgar","qalgar","",37.96667,104.43333,"P","PPL",4,"alg;gar;lga;qal",0,"Mongolian",""
1798393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qalgar","qalgar","Ch'a-la-ko-erh,Ch’a-la-ko-erh,Qalgar",37.93333,104.51667,"P","PPL",4,"alg;gar;lga;qal",0,"Mongolian",""
1798395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qaidam","qaidam","",39.85361,109.58306,"P","PPL",1,"qai",4,"Chinese","aid;am;dam;ida"
1798396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qagan Tolgoi","qagan tolgoi","",38.2,108.03333,"P","PPL",10," to;aga;an ;gan;goi;lgo;n t;olg;qag;tol",0,"Mongolian",""
1798397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Qagan Tal","qagan tal","",38.76861,109.09389,"P","PPL",7," ta;aga;an ;gan;n t;qag;tal",0,"Mongolian",""
